----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Normalized Fission Neutrons Density
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
cycle   bin 1      bin 2      bin 3      bin 4      bin 5      bin 6      bin 7      bin 8      bin 9      bin 10     max_rel_change 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1       9.94e-02   9.99e-02   9.56e-02   1.08e-01   9.67e-02   9.98e-02   1.01e-01   1.01e-01   1.01e-01   9.68e-02   0.00e+00            
2       8.91e-02   9.91e-02   1.08e-01   1.08e-01   1.06e-01   1.02e-01   1.06e-01   9.89e-02   1.05e-01   7.70e-02   2.05e-01            
3       8.07e-02   1.03e-01   1.13e-01   1.13e-01   1.14e-01   1.03e-01   1.05e-01   9.61e-02   1.04e-01   6.92e-02   1.01e-01            
4       7.60e-02   1.05e-01   1.15e-01   1.16e-01   1.22e-01   1.01e-01   1.09e-01   9.59e-02   9.57e-02   6.50e-02   7.63e-02            
5       7.25e-02   1.05e-01   1.15e-01   1.19e-01   1.23e-01   1.06e-01   1.06e-01   9.98e-02   9.31e-02   5.96e-02   8.31e-02            
6       6.54e-02   1.12e-01   1.20e-01   1.22e-01   1.29e-01   1.05e-01   1.03e-01   9.91e-02   8.83e-02   5.63e-02   9.79e-02            
7       6.52e-02   1.06e-01   1.28e-01   1.30e-01   1.35e-01   1.01e-01   9.97e-02   9.79e-02   8.71e-02   5.05e-02   1.03e-01            
8       6.34e-02   1.11e-01   1.31e-01   1.23e-01   1.33e-01   1.07e-01   1.06e-01   9.41e-02   8.51e-02   4.65e-02   7.92e-02            
9       6.30e-02   1.11e-01   1.30e-01   1.37e-01   1.37e-01   1.02e-01   1.01e-01   9.31e-02   7.83e-02   4.80e-02   1.13e-01            
10      6.37e-02   1.14e-01   1.35e-01   1.33e-01   1.35e-01   1.02e-01   9.95e-02   9.44e-02   7.41e-02   4.93e-02   5.36e-02            
11      5.97e-02   1.08e-01   1.36e-01   1.39e-01   1.41e-01   1.06e-01   1.01e-01   9.08e-02   7.50e-02   4.31e-02   1.26e-01            
12      5.83e-02   1.16e-01   1.36e-01   1.39e-01   1.37e-01   9.98e-02   1.01e-01   9.57e-02   7.73e-02   4.05e-02   7.34e-02            
13      5.66e-02   1.04e-01   1.40e-01   1.41e-01   1.41e-01   1.07e-01   1.01e-01   9.64e-02   7.30e-02   3.95e-02   1.03e-01            
14      6.22e-02   1.06e-01   1.46e-01   1.49e-01   1.42e-01   1.07e-01   9.15e-02   8.76e-02   7.24e-02   3.57e-02   9.89e-02            
15      6.26e-02   1.08e-01   1.36e-01   1.45e-01   1.47e-01   1.09e-01   9.65e-02   8.61e-02   7.25e-02   3.70e-02   6.84e-02            
16      5.38e-02   1.07e-01   1.39e-01   1.43e-01   1.50e-01   1.14e-01   1.00e-01   8.85e-02   6.77e-02   3.58e-02   1.41e-01            
17      5.47e-02   1.14e-01   1.44e-01   1.53e-01   1.53e-01   9.90e-02   9.56e-02   8.44e-02   6.87e-02   3.35e-02   1.35e-01            
18      5.30e-02   1.23e-01   1.49e-01   1.40e-01   1.46e-01   1.05e-01   9.27e-02   9.02e-02   6.60e-02   3.50e-02   8.49e-02            
19      5.14e-02   1.13e-01   1.44e-01   1.48e-01   1.59e-01   1.06e-01   9.68e-02   8.78e-02   6.26e-02   3.12e-02   1.09e-01            
20      5.20e-02   1.11e-01   1.43e-01   1.52e-01   1.60e-01   1.08e-01   9.71e-02   8.43e-02   5.96e-02   3.32e-02   6.41e-02            
21      5.78e-02   1.09e-01   1.48e-01   1.55e-01   1.63e-01   1.05e-01   9.15e-02   8.24e-02   5.59e-02   3.36e-02   1.12e-01            
22      5.35e-02   1.15e-01   1.43e-01   1.53e-01   1.54e-01   1.13e-01   9.50e-02   8.32e-02   5.75e-02   3.35e-02   8.22e-02            
23      5.48e-02   1.16e-01   1.43e-01   1.61e-01   1.51e-01   1.14e-01   9.33e-02   7.88e-02   5.75e-02   3.00e-02   1.04e-01            
24      5.35e-02   1.18e-01   1.44e-01   1.54e-01   1.62e-01   1.08e-01   9.03e-02   7.96e-02   6.12e-02   2.85e-02   7.48e-02            
25      5.69e-02   1.17e-01   1.52e-01   1.56e-01   1.56e-01   1.05e-01   9.42e-02   7.79e-02   5.53e-02   3.03e-02   9.64e-02            
26      5.14e-02   1.12e-01   1.40e-01   1.56e-01   1.60e-01   1.19e-01   9.31e-02   8.08e-02   5.58e-02   3.19e-02   1.35e-01            
27      5.26e-02   1.15e-01   1.47e-01   1.61e-01   1.65e-01   1.06e-01   8.90e-02   7.66e-02   5.47e-02   3.24e-02   1.10e-01            
28      5.50e-02   1.17e-01   1.53e-01   1.59e-01   1.56e-01   1.08e-01   9.25e-02   7.41e-02   5.40e-02   3.12e-02   5.56e-02            
29      5.23e-02   1.19e-01   1.51e-01   1.64e-01   1.57e-01   1.11e-01   9.38e-02   7.21e-02   5.26e-02   2.74e-02   1.22e-01            
30      5.83e-02   1.17e-01   1.58e-01   1.62e-01   1.52e-01   1.05e-01   9.63e-02   7.07e-02   5.45e-02   2.68e-02   1.15e-01            
31      5.16e-02   1.05e-01   1.50e-01   1.63e-01   1.68e-01   1.10e-01   9.25e-02   7.67e-02   5.44e-02   2.90e-02   1.15e-01            
32      5.54e-02   1.08e-01   1.58e-01   1.67e-01   1.58e-01   1.12e-01   9.33e-02   7.29e-02   4.74e-02   2.77e-02   1.29e-01            
